publicado em 2011	dp=2011
publicado entre 1980 e me y	dp>=1980 and dp<=me y
publicado no seculo 1	dp=me%
publicado antes do seculo 1	dp<me%
publicado depois do seculo 1	dp>me%
publicado em 2d20	dp=2d20
publicado depois de 2d20	dp>2d20
publicado a partir de 2d20	dp>=2d20
publicado antes de 2d20	dp<2d20
publicado ate 2d20	dp<=2d20
publicado excepto em 2d20	dp<>2d20
publicado mas nao em 2d20	dp<>2d20
publicado entre 1980 e 2d20	dp>=1980 and dp<=2d20
publicado no seculo 3	dp=2d%
publicado antes do seculo 3	dp<2d%
publicado depois do seculo 3	dp>2d%
publicado em 1070	dp=1070
publicado depois de 1070	dp>1070
publicado a partir de 1070	dp>=1070
publicado antes de 1070	dp<1070
publicado ate 1070	dp<=1070
publicado excepto em 1070	dp<>1070
publicado mas nao em 1070	dp<>1070
publicado entre 1980 e 1070	dp>=1980 and dp<=1070
publicado em 1089	dp=1089
publicado depois de 1089	dp>1089
publicado a partir de 1089	dp>=1089
publicado antes de 1089	dp<1089
publicado ate 1089	dp<=1089
publicado excepto em 1089	dp<>1089
publicado mas nao em 1089	dp<>1089
publicado entre 1980 e 1089	dp>=1980 and dp<=1089
publicado em 1881	dp=1881
publicado depois de 1881	dp>1881
publicado a partir de 1881	dp>=1881
publicado antes de 1881	dp<1881
publicado ate 1881	dp<=1881
publicado excepto em 1881	dp<>1881
publicado mas nao em 1881	dp<>1881
publicado entre 1980 e 1881	dp>=1980 and dp<=1881
publicado em 1858	dp=1858
publicado depois de 1858	dp>1858
publicado a partir de 1858	dp>=1858
publicado antes de 1858	dp<1858
publicado ate 1858	dp<=1858
publicado excepto em 1858	dp<>1858
publicado mas nao em 1858	dp<>1858
publicado entre 1980 e 1858	dp>=1980 and dp<=1858
publicado em 193	dp=193
publicado depois de 193	dp>193
publicado a partir de 193	dp>=193
publicado antes de 193	dp<193
publicado ate 193	dp<=193
publicado excepto em 193	dp<>193
publicado mas nao em 193	dp<>193
publicado entre 1980 e 193	dp>=1980 and dp<=193
publicado em d197	dp=d197
publicado depois de d197	dp>d197
publicado a partir de d197	dp>=d197
publicado antes de d197	dp<d197
publicado ate d197	dp<=d197
publicado excepto em d197	dp<>d197
publicado mas nao em d197	dp<>d197
publicado entre 1980 e d197	dp>=1980 and dp<=d197
publicado em 2099	dp=2099
publicado depois de 2099	dp>2099
publicado a partir de 2099	dp>=2099
publicado antes de 2099	dp<2099
publicado ate 2099	dp<=2099
publicado excepto em 2099	dp<>2099
publicado mas nao em 2099	dp<>2099
publicado entre 1980 e 2099	dp>=1980 and dp<=2099
publicado em 1911	dp=1911
publicado depois de 1911	dp>1911
publicado a partir de 1911	dp>=1911
publicado antes de 1911	dp<1911
publicado ate 1911	dp<=1911
publicado excepto em 1911	dp<>1911
publicado mas nao em 1911	dp<>1911
publicado entre 1980 e 1911	dp>=1980 and dp<=1911
publicado em 205	dp=205
publicado depois de 205	dp>205
publicado a partir de 205	dp>=205
publicado antes de 205	dp<205
publicado ate 205	dp<=205
publicado excepto em 205	dp<>205
publicado mas nao em 205	dp<>205
publicado entre 1980 e 205	dp>=1980 and dp<=205
publicado em 1913	dp=1913
publicado depois de 1913	dp>1913
publicado a partir de 1913	dp>=1913
publicado antes de 1913	dp<1913
publicado ate 1913	dp<=1913
publicado excepto em 1913	dp<>1913
publicado mas nao em 1913	dp<>1913
publicado entre 1980 e 1913	dp>=1980 and dp<=1913
publicado em 0998	dp=0998
publicado depois de 0998	dp>0998
publicado a partir de 0998	dp>=0998
publicado antes de 0998	dp<0998
publicado ate 0998	dp<=0998
publicado excepto em 0998	dp<>0998
publicado mas nao em 0998	dp<>0998
publicado entre 1980 e 0998	dp>=1980 and dp<=0998
publicado no seculo 10	dp=09%
publicado antes do seculo 10	dp<09%
publicado depois do seculo 10	dp>09%
publicado em 2989	dp=2989
publicado depois de 2989	dp>2989
publicado a partir de 2989	dp>=2989
publicado antes de 2989	dp<2989
publicado ate 2989	dp<=2989
publicado excepto em 2989	dp<>2989
publicado mas nao em 2989	dp<>2989
publicado entre 1980 e 2989	dp>=1980 and dp<=2989
publicado no seculo 30	dp=29%
publicado antes do seculo 30	dp<29%
publicado depois do seculo 30	dp>29%
publicado em 2089	dp=2089
publicado depois de 2089	dp>2089
publicado a partir de 2089	dp>=2089
publicado antes de 2089	dp<2089
publicado ate 2089	dp<=2089
publicado excepto em 2089	dp<>2089
publicado mas nao em 2089	dp<>2089
publicado entre 1980 e 2089	dp>=1980 and dp<=2089
publicado em 2094	dp=2094
publicado depois de 2094	dp>2094
publicado a partir de 2094	dp>=2094
publicado antes de 2094	dp<2094
publicado ate 2094	dp<=2094
publicado excepto em 2094	dp<>2094
publicado mas nao em 2094	dp<>2094
publicado entre 1980 e 2094	dp>=1980 and dp<=2094
publicado em 2091	dp=2091
publicado depois de 2091	dp>2091
publicado a partir de 2091	dp>=2091
publicado antes de 2091	dp<2091
publicado ate 2091	dp<=2091
publicado excepto em 2091	dp<>2091
publicado mas nao em 2091	dp<>2091
publicado entre 1980 e 2091	dp>=1980 and dp<=2091
publicado em d201	dp=d201
publicado depois de d201	dp>d201
publicado a partir de d201	dp>=d201
publicado antes de d201	dp<d201
publicado ate d201	dp<=d201
publicado excepto em d201	dp<>d201
publicado mas nao em d201	dp<>d201
publicado entre 1980 e d201	dp>=1980 and dp<=d201
publicado em    m	dp=  m
publicado depois de    m	dp>   m
publicado a partir de    m	dp>=  m
publicado antes de    m	dp<   m
publicado ate    m	dp<=  m
publicado excepto em    m	dp<>   m
publicado mas nao em    m	dp<>   m
publicado entre 1980 e    m	dp>=1980 and dp<=  m
publicado em 18	dp=18
publicado depois de 18	dp>18
publicado a partir de 18	dp>=18
publicado antes de 18	dp<18
publicado ate 18	dp<=18
publicado excepto em 18	dp<>18
publicado mas nao em 18	dp<>18
publicado entre 1980 e 18	dp>=1980 and dp<=18
publicado em 016	dp=016
publicado depois de 016	dp>016
publicado a partir de 016	dp>=016
publicado antes de 016	dp<016
publicado ate 016	dp<=016
publicado excepto em 016	dp<>016
publicado mas nao em 016	dp<>016
publicado entre 1980 e 016	dp>=1980 and dp<=016
publicado no seculo 2	dp=01%
publicado antes do seculo 2	dp<01%
publicado depois do seculo 2	dp>01%
publicado em d202	dp=d202
publicado depois de d202	dp>d202
publicado a partir de d202	dp>=d202
publicado antes de d202	dp<d202
publicado ate d202	dp<=d202
publicado excepto em d202	dp<>d202
publicado mas nao em d202	dp<>d202
publicado entre 1980 e d202	dp>=1980 and dp<=d202
publicado em 16	dp=16
publicado depois de 16	dp>16
publicado a partir de 16	dp>=16
publicado antes de 16	dp<16
publicado ate 16	dp<=16
publicado excepto em 16	dp<>16
publicado mas nao em 16	dp<>16
publicado entre 1980 e 16	dp>=1980 and dp<=16
publicado no seculo 17	dp=16%
publicado antes do seculo 17	dp<16%
publicado depois do seculo 17	dp>16%
publicado em 10	dp=10
publicado depois de 10	dp>10
publicado a partir de 10	dp>=10
publicado antes de 10	dp<10
publicado ate 10	dp<=10
publicado excepto em 10	dp<>10
publicado mas nao em 10	dp<>10
publicado entre 1980 e 10	dp>=1980 and dp<=10
publicado em 96	dp=96
publicado depois de 96	dp>96
publicado a partir de 96	dp>=96
publicado antes de 96	dp<96
publicado ate 96	dp<=96
publicado excepto em 96	dp<>96
publicado mas nao em 96	dp<>96
publicado entre 1980 e 96	dp>=1980 and dp<=96
publicado no seculo 97	dp=96%
publicado antes do seculo 97	dp<96%
publicado depois do seculo 97	dp>96%
publicado em 007	dp=007
publicado depois de 007	dp>007
publicado a partir de 007	dp>=007
publicado antes de 007	dp<007
publicado ate 007	dp<=007
publicado excepto em 007	dp<>007
publicado mas nao em 007	dp<>007
publicado entre 1980 e 007	dp>=1980 and dp<=007
publicado em 4d20	dp=4d20
publicado depois de 4d20	dp>4d20
publicado a partir de 4d20	dp>=4d20
publicado antes de 4d20	dp<4d20
publicado ate 4d20	dp<=4d20
publicado excepto em 4d20	dp<>4d20
publicado mas nao em 4d20	dp<>4d20
publicado entre 1980 e 4d20	dp>=1980 and dp<=4d20
publicado em 3d20	dp=3d20
publicado depois de 3d20	dp>3d20
publicado a partir de 3d20	dp>=3d20
publicado antes de 3d20	dp<3d20
publicado ate 3d20	dp<=3d20
publicado excepto em 3d20	dp<>3d20
publicado mas nao em 3d20	dp<>3d20
publicado entre 1980 e 3d20	dp>=1980 and dp<=3d20
publicado em 0d20	dp=0d20
publicado depois de 0d20	dp>0d20
publicado a partir de 0d20	dp>=0d20
publicado antes de 0d20	dp<0d20
publicado ate 0d20	dp<=0d20
publicado excepto em 0d20	dp<>0d20
publicado mas nao em 0d20	dp<>0d20
publicado entre 1980 e 0d20	dp>=1980 and dp<=0d20
publicado em 92	dp=92
publicado depois de 92	dp>92
publicado a partir de 92	dp>=92
publicado antes de 92	dp<92
publicado ate 92	dp<=92
publicado excepto em 92	dp<>92
publicado mas nao em 92	dp<>92
publicado entre 1980 e 92	dp>=1980 and dp<=92
publicado no seculo 93	dp=92%
publicado antes do seculo 93	dp<92%
publicado depois do seculo 93	dp>92%
publicado em 021	dp=021
publicado depois de 021	dp>021
publicado a partir de 021	dp>=021
publicado antes de 021	dp<021
publicado ate 021	dp<=021
publicado excepto em 021	dp<>021
publicado mas nao em 021	dp<>021
publicado entre 1980 e 021	dp>=1980 and dp<=021
publicado no seculo 3	dp=02%
publicado antes do seculo 3	dp<02%
publicado depois do seculo 3	dp>02%
publicado em 011	dp=011
publicado depois de 011	dp>011
publicado a partir de 011	dp>=011
publicado antes de 011	dp<011
publicado ate 011	dp<=011
publicado excepto em 011	dp<>011
publicado mas nao em 011	dp<>011
publicado entre 1980 e 011	dp>=1980 and dp<=011
publicado em 11	dp=11
publicado depois de 11	dp>11
publicado a partir de 11	dp>=11
publicado antes de 11	dp<11
publicado ate 11	dp<=11
publicado excepto em 11	dp<>11
publicado mas nao em 11	dp<>11
publicado entre 1980 e 11	dp>=1980 and dp<=11
publicado no seculo 12	dp=11%
publicado antes do seculo 12	dp<11%
publicado depois do seculo 12	dp>11%
publicado em 88	dp=88
publicado depois de 88	dp>88
publicado a partir de 88	dp>=88
publicado antes de 88	dp<88
publicado ate 88	dp<=88
publicado excepto em 88	dp<>88
publicado mas nao em 88	dp<>88
publicado entre 1980 e 88	dp>=1980 and dp<=88
publicado no seculo 89	dp=88%
publicado antes do seculo 89	dp<88%
publicado depois do seculo 89	dp>88%
publicado em 1200	dp=1200
publicado depois de 1200	dp>1200
publicado a partir de 1200	dp>=1200
publicado antes de 1200	dp<1200
publicado ate 1200	dp<=1200
publicado excepto em 1200	dp<>1200
publicado mas nao em 1200	dp<>1200
publicado entre 1980 e 1200	dp>=1980 and dp<=1200
publicado no seculo 13	dp=12%
publicado antes do seculo 13	dp<12%
publicado depois do seculo 13	dp>12%
publicado em 002	dp=002
publicado depois de 002	dp>002
publicado a partir de 002	dp>=002
publicado antes de 002	dp<002
publicado ate 002	dp<=002
publicado excepto em 002	dp<>002
publicado mas nao em 002	dp<>002
publicado entre 1980 e 002	dp>=1980 and dp<=002
publicado em 001	dp=001
publicado depois de 001	dp>001
publicado a partir de 001	dp>=001
publicado antes de 001	dp<001
publicado ate 001	dp<=001
publicado excepto em 001	dp<>001
publicado mas nao em 001	dp<>001
publicado entre 1980 e 001	dp>=1980 and dp<=001
publicado em 14	dp=14
publicado depois de 14	dp>14
publicado a partir de 14	dp>=14
publicado antes de 14	dp<14
publicado ate 14	dp<=14
publicado excepto em 14	dp<>14
publicado mas nao em 14	dp<>14
publicado entre 1980 e 14	dp>=1980 and dp<=14
publicado em j200	dp=j200
publicado depois de j200	dp>j200
publicado a partir de j200	dp>=j200
publicado antes de j200	dp<j200
publicado ate j200	dp<=j200
publicado excepto em j200	dp<>j200
publicado mas nao em j200	dp<>j200
publicado entre 1980 e j200	dp>=1980 and dp<=j200
publicado no seculo 1	dp=j2%
publicado antes do seculo 1	dp<j2%
publicado depois do seculo 1	dp>j2%
publicado em j201	dp=j201
publicado depois de j201	dp>j201
publicado a partir de j201	dp>=j201
publicado antes de j201	dp<j201
publicado ate j201	dp<=j201
publicado excepto em j201	dp<>j201
publicado mas nao em j201	dp<>j201
publicado entre 1980 e j201	dp>=1980 and dp<=j201
publicado em 98	dp=98
publicado depois de 98	dp>98
publicado a partir de 98	dp>=98
publicado antes de 98	dp<98
publicado ate 98	dp<=98
publicado excepto em 98	dp<>98
publicado mas nao em 98	dp<>98
publicado entre 1980 e 98	dp>=1980 and dp<=98
publicado no seculo 99	dp=98%
publicado antes do seculo 99	dp<98%
publicado depois do seculo 99	dp>98%
publicado em 04	dp=04
publicado depois de 04	dp>04
publicado a partir de 04	dp>=04
publicado antes de 04	dp<04
publicado ate 04	dp<=04
publicado excepto em 04	dp<>04
publicado mas nao em 04	dp<>04
publicado entre 1980 e 04	dp>=1980 and dp<=04
publicado no seculo 5	dp=04%
publicado antes do seculo 5	dp<04%
publicado depois do seculo 5	dp>04%
publicado em 13	dp=13
publicado depois de 13	dp>13
publicado a partir de 13	dp>=13
publicado antes de 13	dp<13
publicado ate 13	dp<=13
publicado excepto em 13	dp<>13
publicado mas nao em 13	dp<>13
publicado entre 1980 e 13	dp>=1980 and dp<=13
publicado no seculo 14	dp=13%
publicado antes do seculo 14	dp<13%
publicado depois do seculo 14	dp>13%
publicado em 09	dp=09
publicado depois de 09	dp>09
publicado a partir de 09	dp>=09
publicado antes de 09	dp<09
publicado ate 09	dp<=09
publicado excepto em 09	dp<>09
publicado mas nao em 09	dp<>09
publicado entre 1980 e 09	dp>=1980 and dp<=09
publicado em 97	dp=97
publicado depois de 97	dp>97
publicado a partir de 97	dp>=97
publicado antes de 97	dp<97
publicado ate 97	dp<=97
publicado excepto em 97	dp<>97
publicado mas nao em 97	dp<>97
publicado entre 1980 e 97	dp>=1980 and dp<=97
publicado no seculo 98	dp=97%
publicado antes do seculo 98	dp<97%
publicado depois do seculo 98	dp>97%
publicado em g200	dp=g200
publicado depois de g200	dp>g200
publicado a partir de g200	dp>=g200
publicado antes de g200	dp<g200
publicado ate g200	dp<=g200
publicado excepto em g200	dp<>g200
publicado mas nao em g200	dp<>g200
publicado entre 1980 e g200	dp>=1980 and dp<=g200
publicado no seculo 1	dp=g2%
publicado antes do seculo 1	dp<g2%
publicado depois do seculo 1	dp>g2%
publicado em 2202	dp=2202
publicado depois de 2202	dp>2202
publicado a partir de 2202	dp>=2202
publicado antes de 2202	dp<2202
publicado ate 2202	dp<=2202
publicado excepto em 2202	dp<>2202
publicado mas nao em 2202	dp<>2202
publicado entre 1980 e 2202	dp>=1980 and dp<=2202
publicado em 012	dp=012
publicado depois de 012	dp>012
publicado a partir de 012	dp>=012
publicado antes de 012	dp<012
publicado ate 012	dp<=012
publicado excepto em 012	dp<>012
publicado mas nao em 012	dp<>012
publicado entre 1980 e 012	dp>=1980 and dp<=012
publicado em 12	dp=12
publicado depois de 12	dp>12
publicado a partir de 12	dp>=12
publicado antes de 12	dp<12
publicado ate 12	dp<=12
publicado excepto em 12	dp<>12
publicado mas nao em 12	dp<>12
publicado entre 1980 e 12	dp>=1980 and dp<=12
publicado em e201	dp=e201
publicado depois de e201	dp>e201
publicado a partir de e201	dp>=e201
publicado antes de e201	dp<e201
publicado ate e201	dp<=e201
publicado excepto em e201	dp<>e201
publicado mas nao em e201	dp<>e201
publicado entre 1980 e e201	dp>=1980 and dp<=e201
publicado no seculo 1	dp=e2%
publicado antes do seculo 1	dp<e2%
publicado depois do seculo 1	dp>e2%
publicado em 006	dp=006
publicado depois de 006	dp>006
publicado a partir de 006	dp>=006
publicado antes de 006	dp<006
publicado ate 006	dp<=006
publicado excepto em 006	dp<>006
publicado mas nao em 006	dp<>006
publicado entre 1980 e 006	dp>=1980 and dp<=006
publicado em 1918	dp=1918
publicado depois de 1918	dp>1918
publicado a partir de 1918	dp>=1918
publicado antes de 1918	dp<1918
publicado ate 1918	dp<=1918
publicado excepto em 1918	dp<>1918
publicado mas nao em 1918	dp<>1918
publicado entre 1980 e 1918	dp>=1980 and dp<=1918
publicado em 1912	dp=1912
publicado depois de 1912	dp>1912
publicado a partir de 1912	dp>=1912
publicado antes de 1912	dp<1912
publicado ate 1912	dp<=1912
publicado excepto em 1912	dp<>1912
publicado mas nao em 1912	dp<>1912
publicado entre 1980 e 1912	dp>=1980 and dp<=1912
publicado em 1886	dp=1886
publicado depois de 1886	dp>1886
publicado a partir de 1886	dp>=1886
publicado antes de 1886	dp<1886
publicado ate 1886	dp<=1886
publicado excepto em 1886	dp<>1886
publicado mas nao em 1886	dp<>1886
publicado entre 1980 e 1886	dp>=1980 and dp<=1886
publicado em 1885	dp=1885
publicado depois de 1885	dp>1885
publicado a partir de 1885	dp>=1885
publicado antes de 1885	dp<1885
publicado ate 1885	dp<=1885
publicado excepto em 1885	dp<>1885
publicado mas nao em 1885	dp<>1885
publicado entre 1980 e 1885	dp>=1980 and dp<=1885
publicado em 1877	dp=1877
publicado depois de 1877	dp>1877
publicado a partir de 1877	dp>=1877
publicado antes de 1877	dp<1877
publicado ate 1877	dp<=1877
publicado excepto em 1877	dp<>1877
publicado mas nao em 1877	dp<>1877
publicado entre 1980 e 1877	dp>=1980 and dp<=1877
publicado em 1870	dp=1870
publicado depois de 1870	dp>1870
publicado a partir de 1870	dp>=1870
publicado antes de 1870	dp<1870
publicado ate 1870	dp<=1870
publicado excepto em 1870	dp<>1870
publicado mas nao em 1870	dp<>1870
publicado entre 1980 e 1870	dp>=1980 and dp<=1870
publicado em 1904	dp=1904
publicado depois de 1904	dp>1904
publicado a partir de 1904	dp>=1904
publicado antes de 1904	dp<1904
publicado ate 1904	dp<=1904
publicado excepto em 1904	dp<>1904
publicado mas nao em 1904	dp<>1904
publicado entre 1980 e 1904	dp>=1980 and dp<=1904
publicado em 1910	dp=1910
publicado depois de 1910	dp>1910
publicado a partir de 1910	dp>=1910
publicado antes de 1910	dp<1910
publicado ate 1910	dp<=1910
publicado excepto em 1910	dp<>1910
publicado mas nao em 1910	dp<>1910
publicado entre 1980 e 1910	dp>=1980 and dp<=1910
publicado em 1825	dp=1825
publicado depois de 1825	dp>1825
publicado a partir de 1825	dp>=1825
publicado antes de 1825	dp<1825
publicado ate 1825	dp<=1825
publicado excepto em 1825	dp<>1825
publicado mas nao em 1825	dp<>1825
publicado entre 1980 e 1825	dp>=1980 and dp<=1825
publicado em 1851	dp=1851
publicado depois de 1851	dp>1851
publicado a partir de 1851	dp>=1851
publicado antes de 1851	dp<1851
publicado ate 1851	dp<=1851
publicado excepto em 1851	dp<>1851
publicado mas nao em 1851	dp<>1851
publicado entre 1980 e 1851	dp>=1980 and dp<=1851
publicado em 1855	dp=1855
publicado depois de 1855	dp>1855
publicado a partir de 1855	dp>=1855
publicado antes de 1855	dp<1855
publicado ate 1855	dp<=1855
publicado excepto em 1855	dp<>1855
publicado mas nao em 1855	dp<>1855
publicado entre 1980 e 1855	dp>=1980 and dp<=1855
publicado em 1879	dp=1879
publicado depois de 1879	dp>1879
publicado a partir de 1879	dp>=1879
publicado antes de 1879	dp<1879
publicado ate 1879	dp<=1879
publicado excepto em 1879	dp<>1879
publicado mas nao em 1879	dp<>1879
publicado entre 1980 e 1879	dp>=1980 and dp<=1879
publicado em 1861	dp=1861
publicado depois de 1861	dp>1861
publicado a partir de 1861	dp>=1861
publicado antes de 1861	dp<1861
publicado ate 1861	dp<=1861
publicado excepto em 1861	dp<>1861
publicado mas nao em 1861	dp<>1861
publicado entre 1980 e 1861	dp>=1980 and dp<=1861
publicado em 1862	dp=1862
publicado depois de 1862	dp>1862
publicado a partir de 1862	dp>=1862
publicado antes de 1862	dp<1862
publicado ate 1862	dp<=1862
publicado excepto em 1862	dp<>1862
publicado mas nao em 1862	dp<>1862
publicado entre 1980 e 1862	dp>=1980 and dp<=1862
publicado em 1875	dp=1875
publicado depois de 1875	dp>1875
publicado a partir de 1875	dp>=1875
publicado antes de 1875	dp<1875
publicado ate 1875	dp<=1875
publicado excepto em 1875	dp<>1875
publicado mas nao em 1875	dp<>1875
publicado entre 1980 e 1875	dp>=1980 and dp<=1875
publicado em 1874	dp=1874
publicado depois de 1874	dp>1874
publicado a partir de 1874	dp>=1874
publicado antes de 1874	dp<1874
publicado ate 1874	dp<=1874
publicado excepto em 1874	dp<>1874
publicado mas nao em 1874	dp<>1874
publicado entre 1980 e 1874	dp>=1980 and dp<=1874
publicado em 1859	dp=1859
publicado depois de 1859	dp>1859
publicado a partir de 1859	dp>=1859
publicado antes de 1859	dp<1859
publicado ate 1859	dp<=1859
publicado excepto em 1859	dp<>1859
publicado mas nao em 1859	dp<>1859
publicado entre 1980 e 1859	dp>=1980 and dp<=1859
publicado em 1860	dp=1860
publicado depois de 1860	dp>1860
publicado a partir de 1860	dp>=1860
publicado antes de 1860	dp<1860
publicado ate 1860	dp<=1860
publicado excepto em 1860	dp<>1860
publicado mas nao em 1860	dp<>1860
publicado entre 1980 e 1860	dp>=1980 and dp<=1860
publicado em 1869	dp=1869
publicado depois de 1869	dp>1869
publicado a partir de 1869	dp>=1869
publicado antes de 1869	dp<1869
publicado ate 1869	dp<=1869
publicado excepto em 1869	dp<>1869
publicado mas nao em 1869	dp<>1869
publicado entre 1980 e 1869	dp>=1980 and dp<=1869
publicado em 1871	dp=1871
publicado depois de 1871	dp>1871
publicado a partir de 1871	dp>=1871
publicado antes de 1871	dp<1871
publicado ate 1871	dp<=1871
publicado excepto em 1871	dp<>1871
publicado mas nao em 1871	dp<>1871
publicado entre 1980 e 1871	dp>=1980 and dp<=1871
publicado em 1872	dp=1872
publicado depois de 1872	dp>1872
publicado a partir de 1872	dp>=1872
publicado antes de 1872	dp<1872
publicado ate 1872	dp<=1872
publicado excepto em 1872	dp<>1872
publicado mas nao em 1872	dp<>1872
publicado entre 1980 e 1872	dp>=1980 and dp<=1872
publicado em 1873	dp=1873
publicado depois de 1873	dp>1873
publicado a partir de 1873	dp>=1873
publicado antes de 1873	dp<1873
publicado ate 1873	dp<=1873
publicado excepto em 1873	dp<>1873
publicado mas nao em 1873	dp<>1873
publicado entre 1980 e 1873	dp>=1980 and dp<=1873
publicado em 1898	dp=1898
publicado depois de 1898	dp>1898
publicado a partir de 1898	dp>=1898
publicado antes de 1898	dp<1898
publicado ate 1898	dp<=1898
publicado excepto em 1898	dp<>1898
publicado mas nao em 1898	dp<>1898
publicado entre 1980 e 1898	dp>=1980 and dp<=1898
publicado em 1882	dp=1882
publicado depois de 1882	dp>1882
publicado a partir de 1882	dp>=1882
publicado antes de 1882	dp<1882
publicado ate 1882	dp<=1882
publicado excepto em 1882	dp<>1882
publicado mas nao em 1882	dp<>1882
publicado entre 1980 e 1882	dp>=1980 and dp<=1882
publicado em 1883	dp=1883
publicado depois de 1883	dp>1883
publicado a partir de 1883	dp>=1883
publicado antes de 1883	dp<1883
publicado ate 1883	dp<=1883
publicado excepto em 1883	dp<>1883
publicado mas nao em 1883	dp<>1883
publicado entre 1980 e 1883	dp>=1980 and dp<=1883
publicado em 1884	dp=1884
publicado depois de 1884	dp>1884
publicado a partir de 1884	dp>=1884
publicado antes de 1884	dp<1884
publicado ate 1884	dp<=1884
publicado excepto em 1884	dp<>1884
publicado mas nao em 1884	dp<>1884
publicado entre 1980 e 1884	dp>=1980 and dp<=1884
publicado em 1892	dp=1892
publicado depois de 1892	dp>1892
publicado a partir de 1892	dp>=1892
publicado antes de 1892	dp<1892
publicado ate 1892	dp<=1892
publicado excepto em 1892	dp<>1892
publicado mas nao em 1892	dp<>1892
publicado entre 1980 e 1892	dp>=1980 and dp<=1892
publicado em 1889	dp=1889
publicado depois de 1889	dp>1889
publicado a partir de 1889	dp>=1889
publicado antes de 1889	dp<1889
publicado ate 1889	dp<=1889
publicado excepto em 1889	dp<>1889
publicado mas nao em 1889	dp<>1889
publicado entre 1980 e 1889	dp>=1980 and dp<=1889
publicado em 1890	dp=1890
publicado depois de 1890	dp>1890
publicado a partir de 1890	dp>=1890
publicado antes de 1890	dp<1890
publicado ate 1890	dp<=1890
publicado excepto em 1890	dp<>1890
publicado mas nao em 1890	dp<>1890
publicado entre 1980 e 1890	dp>=1980 and dp<=1890
publicado em 1893	dp=1893
publicado depois de 1893	dp>1893
publicado a partir de 1893	dp>=1893
publicado antes de 1893	dp<1893
publicado ate 1893	dp<=1893
publicado excepto em 1893	dp<>1893
publicado mas nao em 1893	dp<>1893
publicado entre 1980 e 1893	dp>=1980 and dp<=1893
publicado em 1896	dp=1896
publicado depois de 1896	dp>1896
publicado a partir de 1896	dp>=1896
publicado antes de 1896	dp<1896
publicado ate 1896	dp<=1896
publicado excepto em 1896	dp<>1896
publicado mas nao em 1896	dp<>1896
publicado entre 1980 e 1896	dp>=1980 and dp<=1896
publicado em 1894	dp=1894
publicado depois de 1894	dp>1894
publicado a partir de 1894	dp>=1894
publicado antes de 1894	dp<1894
publicado ate 1894	dp<=1894
publicado excepto em 1894	dp<>1894
publicado mas nao em 1894	dp<>1894
publicado entre 1980 e 1894	dp>=1980 and dp<=1894
publicado em 1895	dp=1895
publicado depois de 1895	dp>1895
publicado a partir de 1895	dp>=1895
publicado antes de 1895	dp<1895
publicado ate 1895	dp<=1895
publicado excepto em 1895	dp<>1895
publicado mas nao em 1895	dp<>1895
publicado entre 1980 e 1895	dp>=1980 and dp<=1895
publicado em 1897	dp=1897
publicado depois de 1897	dp>1897
publicado a partir de 1897	dp>=1897
publicado antes de 1897	dp<1897
publicado ate 1897	dp<=1897
publicado excepto em 1897	dp<>1897
publicado mas nao em 1897	dp<>1897
publicado entre 1980 e 1897	dp>=1980 and dp<=1897
publicado em 1906	dp=1906
publicado depois de 1906	dp>1906
publicado a partir de 1906	dp>=1906
publicado antes de 1906	dp<1906
publicado ate 1906	dp<=1906
publicado excepto em 1906	dp<>1906
publicado mas nao em 1906	dp<>1906
publicado entre 1980 e 1906	dp>=1980 and dp<=1906
publicado em 1907	dp=1907
publicado depois de 1907	dp>1907
publicado a partir de 1907	dp>=1907
publicado antes de 1907	dp<1907
publicado ate 1907	dp<=1907
publicado excepto em 1907	dp<>1907
publicado mas nao em 1907	dp<>1907
publicado entre 1980 e 1907	dp>=1980 and dp<=1907
publicado em 1908	dp=1908
publicado depois de 1908	dp>1908
publicado a partir de 1908	dp>=1908
publicado antes de 1908	dp<1908
publicado ate 1908	dp<=1908
publicado excepto em 1908	dp<>1908
publicado mas nao em 1908	dp<>1908
publicado entre 1980 e 1908	dp>=1980 and dp<=1908
publicado em 1915	dp=1915
publicado depois de 1915	dp>1915
publicado a partir de 1915	dp>=1915
publicado antes de 1915	dp<1915
publicado ate 1915	dp<=1915
publicado excepto em 1915	dp<>1915
publicado mas nao em 1915	dp<>1915
publicado entre 1980 e 1915	dp>=1980 and dp<=1915
publicado em 1914	dp=1914
publicado depois de 1914	dp>1914
publicado a partir de 1914	dp>=1914
publicado antes de 1914	dp<1914
publicado ate 1914	dp<=1914
publicado excepto em 1914	dp<>1914
publicado mas nao em 1914	dp<>1914
publicado entre 1980 e 1914	dp>=1980 and dp<=1914
publicado em 1916	dp=1916
publicado depois de 1916	dp>1916
publicado a partir de 1916	dp>=1916
publicado antes de 1916	dp<1916
publicado ate 1916	dp<=1916
publicado excepto em 1916	dp<>1916
publicado mas nao em 1916	dp<>1916
publicado entre 1980 e 1916	dp>=1980 and dp<=1916
publicado em 1919	dp=1919
publicado depois de 1919	dp>1919
publicado a partir de 1919	dp>=1919
publicado antes de 1919	dp<1919
publicado ate 1919	dp<=1919
publicado excepto em 1919	dp<>1919
publicado mas nao em 1919	dp<>1919
publicado entre 1980 e 1919	dp>=1980 and dp<=1919
publicado em 1921	dp=1921
publicado depois de 1921	dp>1921
publicado a partir de 1921	dp>=1921
