autor bonnie jeromediemilia,"aut=jeromediemilia, bonnie%"
autor susan hassmiller,"aut=hassmiller, susan%"
autor ilona kiockbusch,"aut=kiockbusch, ilona%"
autor jose manuel janeiro,"aut=janeiro, jose manuel%"
autor . .,"aut=., .%"
autor manuel bras,"aut=bras, manuel%"
autor pilar jimenez de luque,"aut=jimenez de luque, pilar%"
autor elsa rodrigues,"aut=rodrigues, elsa%"
autor liliana silva,"aut=silva, liliana%"
autor liliana nunes,"aut=nunes, liliana%"
autor patricia amaral,"aut=amaral, patricia%"
autor florbela bia,"aut=bia, florbela%"
autor patty j. hale,"aut=hale , patty j.%"
autor maria do ceu espinheira,"aut=espinheira, maria do ceu%"
autor fabio sousa,"aut=sousa, fabio%"
autor marcia deus,"aut=deus, marcia%"
autor vera arruda,"aut=arruda, vera%"
autor leonel preto,"aut=preto, leonel%"
autor adilia fernandes,"aut=fernandes, adilia%"
autor carlos magalhaes,"aut=magalhaes, carlos%"
autor malgorzata pabis,"aut=pabis, malgorzata%"
autor fernanda teixeira,"aut=teixeira, fernanda%"
autor mara silva,"aut=silva, mara%"
autor gabriela medeiros,"aut=medeiros, gabriela%"
autor tiago rodrigues,"aut=rodrigues, tiago%"
autor maria passos,"aut=passos, maria%"
autor henrique pereira,"aut=pereira, henrique%"
autor antonio pinto,"aut=pinto, antonio%"
autor antonio alvim,"aut=alvim, antonio%"
autor dos sistemas de saude observatorio portugues,"aut=observatorio portugues , dos sistemas de saude%"
autor dos sistemas de saude observatorio portugues,"aut=observatorio portugues, dos sistemas de saude%"
autor alice paula cunha,"aut=cunha, alice paula%"
autor joao ferreira,"aut=ferreira, joao%"
autor elvio jesus,"aut=jesus, elvio%"
autor heimar marin,"aut=marin, heimar%"
autor belen montoro,"aut=montoro, belen%"
autor maria engracia leandro,"aut=leandro, maria engracia%"
autor daniela freire cardoso,"aut=cardoso, daniela freire%"
autor jesus etayo,"aut=etayo, jesus%"
autor goncalo morins,"aut=morins, goncalo%"
autor kampf g.,"aut=g., kampf%"
autor andreia teles,"aut=teles, andreia%"
autor anabela gomes,"aut=gomes, anabela%"
autor anabela joao,"aut=joao, anabela%"
autor maria jose dinis,"aut=dinis, maria jose%"
autor regina gomes,"aut=gomes, regina%"
autor john flynn,"aut=flynn, john%"
autor maria augusta ferreira,"aut=ferreira, maria augusta%"
autor carolina henriques,"aut=henriques, carolina%"
autor nelson oliveira,"aut=oliveira, nelson%"
autor joao simoes,"aut=simoes, joao%"
autor isabel alarcao,"aut=alarcao, isabel%"
autor nilza costa,"aut=costa, nilza%"
autor l. silva,"aut=silva, l.%"
autor evaldo dassumpcao,"aut=dassumpcao, evaldo%"
autor ricardo peralta,"aut=peralta, ricardo%"
autor aretha oliveira,"aut=oliveira, aretha%"
autor dalmo lima,"aut=lima, dalmo%"
autor rubia lacerda,"aut=lacerda, rubia%"
autor maria aparecida nascimento,"aut=nascimento, maria aparecida%"
autor sandra pestana,"aut=pestana, sandra%"
autor maria ines serrao,"aut=serrao, maria ines%"
autor lisa onega,"aut=onega, lisa%"
autor douglas forness,"aut=forness, douglas%"
autor sally c adams,"aut=adams, sally c%"
autor p.j. franks,"aut=franks, p.j.%"
autor j. posnett,"aut=posnett, j.%"
autor c.j. moffat,"aut=moffat, c.j.%"
autor luis salas campos,"aut=salas campos, luis%"
autor ana palomino barbero,"aut=palomino barbero, ana%"
autor luiz meyer,"aut=meyer, luiz%"
autor marlaine c. smith,"aut=smith , marlaine c.%"
autor alicia aparicio martin,"aut=martin, alicia aparicio%"
autor jose reis roxo,"aut=roxo, jose reis%"
autor ermelinda macedo,"aut=macedo, ermelinda%"
autor alexandra costa,"aut=costa, alexandra%"
autor paula pereira,"aut=pereira, paula%"
autor catarina tomas,"aut=tomas, catarina%"
autor isa carvalho,"aut=carvalho, isa%"
autor regina martins,"aut=martins, regina%"
autor jose carlos martins,"aut=martins, jose carlos%"
autor emanuelle nunes,"aut=nunes, emanuelle%"
autor luciana fragoso,"aut=fragoso, luciana%"
autor marli galvao,"aut=galvao, marli%"
autor joselany caetano,"aut=caetano, joselany%"
autor akemi watanabe,"aut=watanabe, akemi%"
autor tomoko inoue,"aut=inoue, tomoko%"
autor helia soares,"aut=soares, helia%"
autor mario maj,"aut=maj mario%"
autor norman sartorius,"aut=sartorius norman%"
autor m. carballo alvarez,"aut=carballo alvarez, m.%"
autor amandine lamarre,"aut=lamarre, amandine%"
autor francois truchetet,"aut=truchetet, francois%"
autor luc teot,"aut=teot, luc%"
autor orestes forlenza,"aut=forlenza, orestes%"
autor isabel esteves,"aut=esteves, isabel%"
autor vanda pinto,"aut=pinto, vanda%"
autor filomena leal,"aut=leal, filomena%"
autor m. lourenco,"aut=lourenco, m.%"
autor a. silva,"aut=silva, a.%"
autor carlos lourenco,"aut=lourenco, carlos%"
autor monica lima,"aut=lima, monica%"
autor patricia alves,"aut=alves, patricia%"
autor helena pestana,"aut=pestana, helena%"
autor ana filipe almeida,"aut=almeida, ana filipe%"
autor filipe macedo,"aut=macedo, filipe%"
autor a. ferreira,"aut=ferreira a.%"
autor r. braz,"aut=braz, r.%"
autor b. bessa,"aut=bessa, b.%"
autor pinto a.,"aut=a., pinto%"
autor celso pereira,"aut=pereira, celso%"
autor sociedade portuguesa de pediatria,"aut=sociedade portuguesa de pediatria%"
autor sofia fernandes,"aut=fernandes, sofia%"
autor jordi gomez,"aut=gomez, jordi%"
autor r sampaio,"aut=sampaio, r%"
autor ana cristina gomes,"aut=gomes, ana cristina%"
autor beverly flynn,"aut=flynn, beverly%"
autor joyce krothe,"aut=krothe, joyce%"
autor sepali guruge,"aut=guruge, sepali%"
autor nazilla khanlou,"aut=khanlou, nazilla%"
autor denise gastaldo,"aut=gastaldo, denise%"
autor carla silva mendes,"aut=silva mendes, carla%"
autor graca trindade,"aut=trindade, graca%"
autor carlos laranjeira,"aut=laranjeira, carlos%"
autor juliann g. sebastian,"aut=sebastian, juliann g.%"
autor jose manuel  santos,"aut=santos, jose manuel%"
autor zelia teixeira,"aut=teixeira, zelia%"
autor maria manuel castro,"aut=castro, maria manuel%"
autor flavio chaimowicz,"aut=chaimowicz, flavio%"
autor ramon cosenza,"aut=cosenza, ramon%"
autor elisabete diz,"aut=diz, elisabete%"
autor maria jose gomes,"aut=gomes, maria jose%"
autor paula ferreira,"aut=ferreira, paula%"
autor paulo pinheiro,"aut=pinheiro, paulo%"
autor dulce galvao,"aut=galvao, dulce%"
autor cynthia jacelon,"aut=jacelon, cynthia%"
autor holger kapp,"aut=kapp, holger%"
autor maria fernanda limacosta,"aut=limacosta, maria fernanda%"
autor barreto sandhi,"aut=sandhi, barreto%"
autor conceicao martins,"aut=martins, conceicao%"
autor susana moleiro,"aut=moleiro, susana%"
autor manuela calha,"aut=calha, manuela%"
autor rui mota,"aut=mota, rui%"
autor c. pereira,"aut=pereira, c.%"
autor fernanda alves,"aut=alves, fernanda%"
autor sonia carvalho,"aut=carvalho, sonia%"
autor carla gomes,"aut=gomes, carla%"
autor berta nogueira,"aut=nogueira, berta%"
autor jose manuel bento,"aut=bento, jose manuel%"
autor w. marston,"aut=marston, w.%"
autor k. vowden,"aut=vowden, k.%"
autor graca farelo,"aut=farelo, graca%"
autor m.a.f. carvalho,"aut=carvalho, m.a.f.%"
autor j.a. santos,"aut=santos, j.a.%"
autor p. alves,"aut=alves, p.%"
autor l. fontes,"aut=fontes, l.%"
autor a. ferreira,"aut=ferreira, a.%"
autor f.m. duarte,"aut=duarte, f.m.%"
autor jose fidalgo,"aut=fidalgo, jose%"
autor ana ferreira,"aut=ferreira, ana%"
autor maria da conceicao capaz,"aut=capaz, maria da conceicao%"
autor jose silva silva,"aut=silva, jose silva%"
autor l. bermejo munoz,"aut=munoz, l. bermejo%"
autor ricard i guillem barbera,"aut=barbera, ricard i guillem%"
autor martine segalen,"aut=segalen, martine%"
autor secretariado geral episcopado,"aut=episcopado, secretariado geral%"
autor i. lopez martin,"aut=martin, i. lopez%"
autor hoffman lynn,"aut=lynn , hoffman%"
autor fatima andersen,"aut=andersen, fatima%"
autor honnor morten,"aut=morten, honnor%"
autor m¦ isabel serrano gonzalez,"aut=gonzalez, m¦ isabel serrano%"
autor jose maia,"aut=maia, jose%"
autor duarte freitas,"aut=freitas, duarte%"
autor gaston beunen,"aut=beunen, gaston%"
autor johan lefevre,"aut=lefevre, johan%"
autor albrecht claessens,"aut=claessens, albrecht%"
autor antonio rodrigues,"aut=rodrigues, antonio%"
autor martine thomis,"aut=thomis, martine%"
autor rui garganta,"aut=garganta, rui%"
autor vitor lopes,"aut=lopes, vitor%"
autor andre seabra,"aut=seabra, andre%"
autor celso silva,"aut=silva, celso%"
autor jose luis pais  ribeiro,"aut=ribeiro, jose luis pais%"
autor paulo nogueira,"aut=nogueira, paulo%"
autor eleonora paixao,"aut=paixao, eleonora%"
autor emanuel rodrigues,"aut=rodrigues, emanuel%"
autor socorro calvo bruzos,"aut=bruzos, socorro calvo%"
autor antonio marques,"aut=marques , antonio%"
autor direccao geral da saude,"aut=direccao geral da saude%"
autor ana paula alegre,"aut=alegre, ana paula%"
autor goncalo soares,"aut=soares, goncalo%"
autor margarida calvinho,"aut=calvinho, margarida%"
autor natercia segurado,"aut=segurado , natercia%"
autor m¦ manuela serra,"aut=serra, m¦ manuela%"
autor antonio fonseca,"aut=fonseca, antonio%"
autor ana curto,"aut=curto, ana%"
autor alexandra santos,"aut=santos, alexandra%"
autor a. paes duarte,"aut=duarte, a. paes%"
autor fernando lopes,"aut=lopes, fernando%"
autor elisabete henriques,"aut=henriques, elisabete%"
autor antonio gama,"aut=gama, antonio%"
autor carlos goncalves,"aut=goncalves, carlos%"
autor teresa patrone cotrim,"aut=cotrim, teresa patrone%"
autor antonio paes duarte,"aut=duarte, antonio paes%"
autor rui miguel da costa silva,"aut=silva, rui miguel da costa%"
autor manuel alvaro ferreira silva,"aut=silva, manuel alvaro ferreira%"
autor jose eduardo amorim sousa,"aut=sousa, jose eduardo amorim%"
autor claudia torres,"aut=torres, claudia%"
autor jose  lino,"aut=lino, jose%"
autor joao pamplona,"aut=pamplona, joao%"
autor ferreira leal,"aut=leal, ferreira%"
autor pina prata,"aut=prata, pina%"
autor secretariado geral do episcopado  santa se,"aut=secretariado geral do episcopado  santa se%"
autor emilia maria santos pereira,"aut=pereira, emilia maria santos%"
autor maria adriana lages da silva,"aut=silva, maria adriana lages da%"
autor maria de fatima costa brandao,"aut=brandao, maria de fatima costa%"
autor direccao geral da familia,"aut=direccao geral da familia%"
autor gregory bateson,"aut=bateson, gregory%"
autor don d. jackson,"aut=jackson, don d.%"
autor jay haley,"aut=haley, jay%"
autor john weakland,"aut=weakland, john%"
autor h. peter laqueur,"aut=laqueur, h. peter%"
autor yves colas,"aut=colas, yves%"
autor ana maria nicolo,"aut=nicolo, ana maria%"
autor maurizio andolfi,"aut=andolfi, maurizio%"
autor paolo menghi,"aut=menghi, paolo%"
autor carmine saccu,"aut=saccu, carmine%"
autor philippe caille,"aut=caille, philippe%"
autor guy ausloos,"aut=ausloos, guy%"
autor frederick j. duhl,"aut=duhl, frederick j.%"
autor m. d. david  kantor,"aut=kantor, m. d. david%"
autor bunny s.  duhl,"aut=duhl, bunny s.%"
autor philipe van meerbeeck,"aut=meerbeeck, philipe van%"
autor jacques  miermont,"aut=miermont , jacques%"
autor carlos arturomolinaloza,"aut=arturomolinaloza, carlos%"
autor francisco megias lizancos,"aut=lizancos, francisco megias%"
autor m¦ teresa roman daza,"aut=daza, m¦ teresa roman%"
autor m¦ esperanza manso martinez,"aut=martinez, m¦ esperanza manso%"
autor nieves fernandez carbajo,"aut=carbajo, nieves fernandez%"
autor m¦ candelaria matin  martin,"aut=martin, m¦ candelaria matin%"
autor rosa alcaide amoros,"aut=amoros, rosa alcaide%"
autor mercedes bueno ferran,"aut=ferran, mercedes bueno%"
autor carlos j. bermejo caja,"aut=caja, carlos j. bermejo%"
autor inmaculada lopez martin,"aut=martin, inmaculada lopez%"
autor ana paula relvas,"aut=relvas, ana paula%"
autor philip barker,"aut=barker, philip%"
autor joana coelho,"aut=coelho, joana%"
autor richard c. schwartz,"aut=schwartz, richard c.%"
autor direccao geral dos cuidados de saude primarios,"aut=direccao geral dos cuidados de saude primarios%"
autor a. cardoso ferreira,"aut=ferreira, a. cardoso%"
autor marcia hanak,"aut=hanak, marcia%"
autor departamento de estudos e planeamento da saude,"aut=departamento de estudos e planeamento da saude%"
autor rogerio carvalho,"aut=carvalho, rogerio%"
autor a. correia de campos,"aut=campos, a. correia de%"
autor carlos costa,"aut=costa, carlos%"
autor francisco ramos,"aut=ramos, francisco%"
autor luciano patrao,"aut=patrao, luciano%"
autor maria fatima cortes,"aut=cortes, maria fatima%"
autor manuel roque,"aut=roque, manuel%"
autor maria rosario giraldes,"aut=giraldes, maria rosario%"
autor rogerio de carvalho,"aut=carvalho, rogerio de%"
autor f. galvao  melo,"aut=melo, f. galvao%"
autor nilze rodrigues sobreira,"aut=sobreira, nilze rodrigues%"
autor a. correia campos,"aut=campos, a. correia%"
autor constantino sakellaries,"aut=sakellaries, constantino%"
autor maneula silva,"aut=silva, maneula%"
autor m. pinho silva,"aut=silva, m. pinho%"
autor emilio imperatori,"aut=imperatori, emilio%"
autor natalia correia,"aut=correia, natalia%"
autor joao de freitas branco,"aut=branco, joao de freitas%"
autor antonio correia campos,"aut=campos, antonio correia%"
autor jose guilherme jordao,"aut=jordao, jose guilherme%"
autor luisa pacheco,"aut=pacheco, luisa%"
autor manuel s. t. mendes,"aut=mendes, manuel s. t.%"
autor m¦ fernanda alves rodrigues,"aut=rodrigues, m¦ fernanda alves%"
autor m¦ isabel venancio morais,"aut=morais, m¦ isabel venancio%"
autor m¦ josefina sousa guedes,"aut=guedes, m¦ josefina sousa%"
autor vitor ramos,"aut=ramos, vitor%"
autor elsa vale machado,"aut=machado, elsa vale%"
autor adriano campos,"aut=campos, adriano%"
autor mario durval,"aut=durval, mario%"
autor joao a. pereira,"aut=pereira, joao a.%"
autor ralph andreano,"aut=andreano, ralph%"
autor joan artells,"aut=artells, joan%"
autor jeanpaul jardel,"aut=jardel, jeanpaul%"
autor m. c. thuriaux,"aut=thuriaux, m. c.%"
autor herbert zollner,"aut=zollner, herbert%"
autor maurice rochaix,"aut=rochaix, maurice%"
autor robert b. fetter,"aut=fetter, robert b.%"
autor lise rochaix,"aut=rochaix , lise%"
autor detlef schwefel,"aut=schwefel, detlef%"
autor juan del llano,"aut=llano, juan del%"
autor ian d. mcavinchey,"aut=mcavinchey, ian d.%"
autor jose ferraz nunes,"aut=nunes, jose ferraz%"
autor juan  rovira,"aut=rovira, juan%"
autor j. m¦  anto,"aut=anto, j. m¦%"
autor carlos murillo,"aut=murillo, carlos%"
autor pilar coll,"aut=coll, pilar%"
autor jose maria usategui,"aut=usategui, jose maria%"
autor jose luis ruiz alvarez,"aut=alvarez , jose luis ruiz%"
autor nicolas carrasco garcia,"aut=garcia, nicolas carrasco%"
autor julian le grand,"aut=grand, julian le%"
autor joao antonio  pereira,"aut=pereira , joao antonio%"
autor antonio correia de   campos,"aut=campos, antonio correia de %"
autor m¦ de fatima  cortes,"aut=cortes, m¦ de fatima%"
autor carlos  costa,"aut=costa, carlos%"
autor lluis bohigas santasusagna,"aut=santasusagna, lluis bohigas%"
autor joao santos lucas,"aut=lucas, joao santos%"
autor jaime gibestal,"aut=gibestal, jaime%"
autor joana mira godinho,"aut=godinho, joana mira%"
autor alan maynard,"aut=maynard, alan%"
autor krister  hjalte,"aut=hjalte, krister%"
autor born  lindgren,"aut=lindgren, born%"
autor manuela escribano,"aut=escribano, manuela%"
autor itsaso mugarra,"aut=mugarra, itsaso%"
autor m¦ odilia  castelao,"aut=castelao, m¦ odilia%"
autor marina peres da  silva,"aut=silva, marina peres da%"
autor m¦ isabel  gerald,"aut=gerald, m¦ isabel%"
autor carmina  canha,"aut=canha, carmina%"
autor l. cayolla da  motta,"aut=motta, l. cayolla da%"
autor clementina rodriguez,"aut=rodriguez , clementina%"
autor antonio marin,"aut=marin, antonio%"
autor moris schaefer,"aut=schaefer, moris%"
autor mary cipriano silva,"aut=silva, mary cipriano%"
autor james j. fletcher,"aut=fletcher, james j.%"
autor jeanne merkle  sorrell,"aut=sorrell, jeanne merkle%"
autor cynthia e.  degazon,"aut=degazon, cynthia e.%"
autor linda olson keller,"aut=keller, linda olson%"
autor sue  strohschein,"aut=strohschein, sue%"
autor laurel  briske,"aut=briske, laurel%"
autor barbara  sattler,"aut=sattler, barbara%"
autor brenda  afzal,"aut=afzal, brenda%"
autor lilian h.  mood,"aut=mood, lilian h.%"
autor robert e.  mckeown,"aut=mckeown, robert e.%"
autor deanne k. hilfinger  messias,"aut=messias, deanne k. hilfinger%"
autor sharon e.  lock,"aut=lock, sharon e.%"
autor lisa l.  onega,"aut=onega, lisa l.%"
autor edie  devers,"aut=devers, edie%"
autor pamela a.   kulbok,"aut=kulbok, pamela a. %"
autor shirley cloutier  laffrey,"aut=laffrey, shirley cloutier%"
autor sudruk  chitthairatt,"aut=chitthairatt, sudruk%"
autor goeppinger jean,"aut=jean , goeppinger%"
autor angeline  bushy,"aut=bushy, angeline%"
autor mary e.  riner,"aut=riner, mary e.%"
autor katherine k.  kinsey,"aut=kinsey, katherine k.%"
autor marjorie  buchanan,"aut=buchanan, marjorie%"
autor ann h.  cary,"aut=cary, ann h.%"
autor doris f.  glick,"aut=glick, doris f.%"
autor marcia  stanhope,"aut=stanhope, marcia%"
autor judith lupo  wold,"aut=wold, judith lupo%"
autor joanna rwne  kaakinen,"aut=kaakinen, joanna rwne%"
autor linda k.  birenbaum,"aut=birenbaum, linda k.%"
autor debra gay anderson,"aut=anderson, debra gay%"
autor heather  ward,"aut=ward, heather%"
autor diane c.  hatton,"aut=hatton, diane c.%"
autor marcia k.  cowan,"aut=cowan, marcia k.%"
autor dianne    hatton,"aut=hatton, dianne  %"
autor lisa  kaiser,"aut=kaiser, lisa%"
autor monty  gross,"aut=gross, monty%"
autor kathleen ryan  fletcher,"aut=fletcher, kathleen ryan%"
autor susan  kennel,"aut=kennel , susan%"
autor carol lynn  maxwellthompson,"aut=maxwellthompson, carol lynn%"
autor juliann g.  sebastian,"aut=sebastian, juliann g.%"
autor christine di martile  bolla,"aut=bolla, christine di martile%"
autor marie  napolitano,"aut=napolitano, marie%"
autor dyan a. aretakis,"aut=aretakis, dyan a.%"
autor anita  thompsonheisterman,"aut=thompsonheisterman, anita%"
autor mary lynn  mathre,"aut=mathre, mary lynn%"
autor karen m.  landenburger,"aut=landenburger, karen m.%"
autor jacquelyn c.  campbell,"aut=campbell, jacquelyn c.%"
autor francisco s. sy.,"aut=sy., francisco s.%"
autor susan c.  longmarin,"aut=longmarin, susan c.%"
autor patty j.  hale,"aut=hale, patty j.%"
autor molly a.  rose,"aut=rose, molly a.%"
autor karen s.  martin,"aut=martin, karen s.%"
autor janet t. ihlenfeld ihlenfeld,"aut=ihlenfeld, janet t. ihlenfeld%"
autor bonnie  rogers,"aut=rogers, bonnie%"
autor cynthia z.  gustafson,"aut=gustafson, cynthia z.%"
autor diane v. downing,"aut=downing, diane v.%"
autor jose maria marlet  pareta,"aut=pareta, jose maria marlet%"
autor affonso renato  meira,"aut=meira, affonso renato%"
autor carlos  dandretta jr.,"aut=dandretta jr., carlos%"
autor maria christina  cristoforo,"aut=cristoforo, maria christina%"
autor ruy  laurenti,"aut=laurenti, ruy%"
autor maria helena  silveira,"aut=silveira, maria helena%"
autor ruy   laurenti,"aut=laurenti , ruy %"
autor edmur flavio  pastorelo,"aut=pastorelo, edmur flavio%"
autor walter  belda,"aut=belda, walter%"
autor jose m.  marlet,"aut=marlet, jose m.%"
autor affonso renato   meira,"aut=meira, affonso renato %"
autor rodolfo dos santos  mascarenhas,"aut=mascarenhas, rodolfo dos santos%"
autor luiz garcia  duarte,"aut=duarte, luiz garcia%"
autor walter belda,"aut=belda, walter%"
autor antonio mauro  martins,"aut=martins, antonio mauro%"
autor cassio  ravaglia,"aut=ravaglia, cassio%"
autor cyro ciari  junior,"aut=junior, cyro ciari%"
autor arnaldo augusto franco de  siqueira,"aut=siqueira, arnaldo augusto franco de%"
autor ary walter  schmidt,"aut=schmidt, ary walter%"
autor antonio pedro  mirra,"aut=mirra, antonio pedro%"
autor domingos junqueira de  brito,"aut=brito, domingos junqueira de%"
autor hugh rodman leavell,"aut=leavell, hugh rodman%"
autor e. gurney clark,"aut=clark, e. gurney%"
autor maria cecilia ferro donnangelo,"aut=donnangelo, maria cecilia ferro%"
autor moises goldbaum,"aut=goldbaum, moises%"
autor uraci simoes ramos,"aut=ramos, uraci simoes%"
autor emilio  imperatori,"aut=imperatori, emilio%"
autor f. a. goncalves ferreira,"aut=ferreira, f. a. goncalves%"
autor john j.  hanlon,"aut=hanlon, john j.%"
autor elizabeth  mchose,"aut=mchose, elizabeth%"
autor karen   macmillan,"aut=macmillan, karen %"
autor jane   hopkinson,"aut=hopkinson, jane %"
autor jacquie  peden,"aut=peden, jacquie%"
autor dennie  hycha,"aut=hycha dennie%"
autor pacheco susana,"aut=susana, pacheco%"
autor antonio barbosa,"aut=barbosa, antonio%"
autor isabel galrica neto,"aut=neto, isabel galrica%"
autor isabel galrica  neto,"aut=neto, isabel galrica%"
autor filipa  tavares,"aut=tavares, filipa%"
autor jose luis  pereira,"aut=pereira, jose luis%"
autor ana  querido,"aut=querido, ana%"
autor ana  bernardo,"aut=bernardo, ana%"
autor fatima  leal,"aut=leal, fatima%"
autor luisa  carvalho,"aut=carvalho, luisa%"
autor alvaro  pacheco,"aut=pacheco, alvaro%"
autor lurdes santos  matos,"aut=matos, lurdes santos%"
autor maria manuela  madureira,"aut=madureira, maria manuela%"
autor maria de jesus  goncalves,"aut=goncalves , maria de jesus%"
autor joaquina  rosado,"aut=rosado, joaquina%"
autor maria paula  custodio,"aut=custodio, maria paula%"
autor pilar  azevedo,"aut=azevedo, pilar%"
autor herminia  nascimento,"aut=nascimento, herminia%"
autor isabel galrica   neto,"aut=neto, isabel galrica%"
autor edna   goncalves,"aut=goncalves, edna %"
autor jose eduardo  oliveira,"aut=oliveira, jose eduardo%"
autor ana   bernardo,"aut=bernardo, ana %"
autor fatima  leal,"aut=leal , fatima%"
autor antonio  barbosa,"aut=barbosa, antonio%"
autor maria jose  palma,"aut=palma , maria jose%"
autor helena  salazar,"aut=salazar, helena%"
autor georgina marques da  gama,"aut=gama, georgina marques da%"
autor hirondina  guarda,"aut=guarda, hirondina%"
autor emanuel santos  andrade,"aut=andrade , emanuel santos%"
autor manuela  cerqueira,"aut=cerqueira , manuela%"
autor rui  oliveira,"aut=oliveira rui%"
autor ana paula  benito,"aut=benito, ana paula%"
autor luciana fernandes,"aut=fernandes , luciana%"
autor cristina  galvao,"aut=galvao, cristina%"
autor ana  querido,"aut=querido , ana%"
autor helena   salazar,"aut=salazar, helena %"
autor teresa  andrade,"aut=andrade , teresa%"
autor hirondina  guarda,"aut=guarda , hirondina%"
autor cristina  galvao,"aut=galvao , cristina%"
autor maria de jesus  goncalves,"aut=goncalves, maria de jesus%"
autor joaquina  rosado,"aut=rosado , joaquina%"
autor helena salazar,"aut=salazar, helena%"
autor ana  salazar,"aut=salazar, ana%"
autor manuel luis  capelas,"aut=capelas, manuel luis%"
autor maria purificacao monteiro da silva bagagem,"aut=bagagem, maria purificacao monteiro da silva%"
autor jose eduardo rebelo,"aut=rebelo, jose eduardo%"
autor franklin santos,"aut=santos, franklin%"
autor regina pires,"aut=pires, regina%"
autor wilson correia abreu,"aut=abreu, wilson correia%"
autor franklin santana  santos,"aut=santos, franklin santana%"
autor ana laura  schliemann,"aut=schliemann, ana laura%"
autor maria julia  kovacs,"aut=kovacs, maria julia%"
autor roosevelt m. s.  cassorla,"aut=cassorla, roosevelt m. s.%"
autor lucelia elizabeth  paiva,"aut=paiva, lucelia elizabeth%"
autor ramon moraes  penha,"aut=penha, ramon moraes%"
autor mariela besse,"aut=besse, mariela%"
autor maira dutra  lemos,"aut=lemos, maira dutra%"
autor jussara de lima e  souza,"aut=souza, jussara de lima e%"
autor silvia maria monteiro costa,"aut=costa, silvia maria monteiro%"
autor elaine aparecida de carvalho salcedo,"aut=salcedo, elaine aparecida de carvalho%"
autor lia franco serrou camy,"aut=camy, lia franco serrou%"
autor fabiana lima carvalho,"aut=carvalho, fabiana lima%"
autor claudia aparecida marchetti duarte,"aut=duarte, claudia aparecida marchetti%"
autor elisa maria perina,"aut=perina, elisa maria%"
autor flavia de souza barbosa dias,"aut=dias, flavia de souza barbosa%"
autor paula maria cintra batista,"aut=batista, paula maria cintra%"
autor priscila de paula c. petreca,"aut=petreca, priscila de paula c.%"
autor yolanda maria braga freston,"aut=freston, yolanda maria braga%"
autor paulo roberto antonacci  carvalho,"aut=carvalho , paulo roberto antonacci%"
autor nara selaimen gaertner de  azevedo,"aut=azevedo, nara selaimen gaertner de%"
autor e. kraepelin,"aut=kraepelin, e.%"
autor ligia auxiliadora de   oliveira py,"aut=oliveira py, ligia auxiliadora de %"
autor jaime lisandro  pacheco,"aut=pacheco , jaime lisandro%"
autor jose francisco p.  oliveira,"aut=oliveira, jose francisco p.%"
autor regina szylit  bousso,"aut=bousso, regina szylit%"
autor katia  poles,"aut=poles, katia%"
autor monica martins trovo de  araujo,"aut=araujo, monica martins trovo de%"
autor b. de a. e sousa,"aut=sousa, b. de a. e%"
autor daniel neves  forte,"aut=forte, daniel neves%"
autor marco tullio de assis  figueiredo,"aut=figueiredo, marco tullio de assis%"
autor maria helena pereira  franco,"aut=franco, maria helena pereira%"
autor ana georgia cavalcanti de  melo,"aut=melo , ana georgia cavalcanti de%"
autor ricardo  caponero,"aut=caponero, ricardo%"
autor luis alberto  saporetti,"aut=saporetti, luis alberto%"
autor mario viana queiroz,"aut=queiroz, mario viana%"
autor alexander moreira almeida,"aut=almeida, alexander moreira%"
autor leo  pessini,"aut=pessini, leo%"
autor edvaldo leal de  moraes,"aut=moraes , edvaldo leal de%"
autor leonardo borges de barros silva,"aut=silva, leonardo borges de barros%"
autor angela tuccio  teixeira,"aut=teixeira, angela tuccio%"
autor julio fernando prieto  peres,"aut=peres, julio fernando prieto%"
autor wilson correia de  abreu,"aut=abreu, wilson correia de%"
autor paulo freire,"aut=freire, paulo%"
autor lia  fernandes,"aut=fernandes, lia%"
autor ernest e.  moore,"aut=moore, ernest e.%"
autor kenneth l.  mattox,"aut=mattox , kenneth l.%"
autor david v.  feliciano,"aut=feliciano, david v.%"
autor john p.  wattis,"aut=wattis, john p.%"
autor stphen  curran,"aut=curran, stphen%"
autor paul  harrison,"aut=harrison, paul%"
autor john  geddes,"aut=geddes  , john%"
autor michel  sharpe,"aut=sharpe, michel%"
autor henry  woodford,"aut=woodford, henry%"
autor chrisrty l.  crowther,"aut=crowther, chrisrty l.%"
autor nelson  guerra,"aut=guerra, nelson%"
autor m. l. figueira,"aut=figueira, m. l.%"
autor h. s. akiskal,"aut=akiskal, h. s.%"
autor margot  phaneuf,"aut=phaneuf, margot%"
autor shirley may harmon  hanson,"aut=hanson, shirley may harmon%"
autor isabel ligeiro,"aut=ligeiro, isabel%"
autor joanna rowe kaakinen kaakinen,"aut=kaakinen, joanna rowe kaakinen%"
autor gail m.  houck,"aut=houck , gail m.%"
autor sheila  kodadek,"aut=kodadek, sheila%"
autor naomi r.  ballard,"aut=ballard, naomi r.%"
autor elanor g.   fergusonmarshalleck,"aut=fergusonmarshalleck, elanor g. %"
autor jung kim  miller,"aut=miller, jung kim%"
autor marcia van  riper,"aut=riper, marcia van%"
autor beverly j. ross,"aut=ross, beverly j.%"
autor perri   bomar,"aut=bomar , perri%"
autor pammela  bakerword,"aut=bakerword, pammela%"
